Antibiotic ID,Antibiotic Name,anticat1,anticat2,Spectrum,betalactamase_activity
29,Doxicycline,Tetracyclines,Tetracyclines,Broad,Yes
30,Ertapenem,B-lactams,carbapenems,Broad,Yes
43,Meropenem,B-lactams,carbapenems,Broad,Yes
45,Minocycline,tetracyclines,tetracyclines,Broad,Yes
61,Tetracycline,tetracyclines,tetracyclines,Broad,Yes
64,Tigecycline,tetracyclines,tetracyclines,Broad,Yes
25,Colistin (Mu),other,Polymyxins,Narrow,Yes
3,Amoxicillin/CA,B-lactams,Penicillin,Broad,Possibly
6,Ampicillin/sulbactam,B-lactams,Penicillin,Broad,Possibly
53,Piperacillin/tazobactam,B-lactams,Penicillin,Broad,Possibly
63,Ticarcillin/CA,B-lactams,Penicillin,Broad,Possibly
1,Amikacin,aminoglycoside,aminoglycoside,Broad,No
2,Amoxicillin,B-lactams,Penicillin,Broad,No
4,Amphotericin B,other,Antimycotics,Broad,No
5,Ampicillin,B-lactams,Penicillin,Broad,No
7,Azithromycin,"Macrolides, lincosamides and streptogramins",macrolides,Narrow,No
8,Aztreonam,monobactams,monobactams,Narrow,No
9,Caspofungin,other,Antimycotics,Narrow,No
10,Cefalexin,B-lactams,1 Cephalosporin,Narrow,No
11,Cefazolin,B-lactams,1 Cephalosporin,Narrow,No
12,Cefepime,B-lactams,4 Cephalosporin,Broad,No
13,Cefixime,B-lactams,3 Cephalosporin,Broad,No
14,Cefotaxime,B-lactams,3 Cephalosporin,Broad,No
15,Cefotetan,B-lactams,2 Cephalosporin,Broad,No
16,Cefonicid,B-lactams,2 Cephalosporin,Broad,No
17,Cephalothin,B-lactams,1 Cephalosporin,Narrow,No
18,Ceftazidime,B-lactams,3 Cephalosporin,Broad,No
19,Ceftriaxone,B-lactams,3 Cephalosporin,Broad,No
20,Cefuroxime,B-lactams,2 Cephalosporin,Broad,No
21,Chloramphenicol,other,Amphenicols,Broad,No
22,Ciprofloxacin,quinolones,Fluoroquinolones,Broad,No
23,Clarithromycin,"Macrolides, lincosamides and streptogramins",macrolides,Narrow,No
24,Clindamycin,"Macrolides, lincosamides and streptogramins",lincosamides,Narrow,No
26,cotrimoxazole,other,other,Broad,No
27,Daptomycin,other,other,Narrow,No
28,Dicloxacillin,B-lactams,Penicillin,Narrow,No
31,ethambutol,other,treatment_TB,Narrow,No
32,Erythromycin,"Macrolides, lincosamides and streptogramins",macrolides,Narrow,No
33,Fluconazole,other,Antimycotics,Narrow,No
34,Fosfomycin,other,other,Broad,No
35,Fusidic Acid,other,Steroid antimicrobials,Narrow,No
36,Gemifloxacin,quinolones,Fluoroquinolones,Broad,No
37,Gentamicin,aminoglycoside,aminoglycoside,Broad,No
38,isoniazid,other,treatment_TB,Narrow,No
39,Imipenem,B-lactams,Antimycotics,Broad,No
40,Itraconazole,other,other,Narrow,No
41,Levofloxacin,quinolones,Fluoroquinolones,Broad,No
42,Linezolid,other,other,Narrow,No
44,Metronidazole (Flagyl),other,Imidazole derivatives,Narrow,No
46,Moxifloxacin,quinolones,Fluoroquinolones,Broad,No
47,Nitrofurantoin,other,Nitrofuran derivatives,Broad,No
48,Norfloxacin,quinolones,Fluoroquinolones,Broad,No
49,Oxacillin,B-lactams,Penicillin,Narrow,No
50,Ofloxacin,quinolones,Fluoroquinolones,Broad,No
51,Penicillin-G,B-lactams,Penicillin,Narrow,No
52,Piperacillin,B-lactams,Penicillin,Broad,No
54,pyrazinamide,other,treatment_TB,Narrow,No
55,Quinupristin/Dalfopristin mg/kg,other,other,Narrow,No
56,Rifabutin,other,treatment_TB,Narrow,No
57,Rifampicin,other,treatment_TB,Narrow,No
58,Roxithromycin,"Macrolides, lincosamides and streptogramins",macrolides,Narrow,No
59,Streptomycin,aminoglycoside,aminoglycoside,Broad,No
60,Teicoplanin,other,Glycopeptide,Narrow,No
62,Ticarcillin,B-lactams,Penicillin,Broad,No
65,Tobramycin,aminoglycoside,aminoglycoside,Narrow,No
66,Trimethoprim/Sulfa,other,other,Broad,No
67,Vancomycin,Vancomycin,Glycopeptide,Narrow,No
