run,sample_name
20140717_16S_LB_data.tmp,IT_3294_S0
20140717_16S_LB_data.tmp,IT_3294_S1
20140717_16S_LB_data.tmp,IT_3294_S3
20140717_CTX-M_LB_data.tmp,IT_3294_S0
20140717_CTX-M_LB_data.tmp,IT_3294_S1
20140717_CTX-M_LB_data.tmp,IT_3294_S3
20140718_16S_LB_data.tmp,IT_3056_S0
20140911_16S_LB_data.tmp,IT_3294_S0
20140911_16S_LB_data.tmp,IT_3294_S1
20140911_16S_LB_data.tmp,IT_3294_S3
20150129_CTX-M_LB.tmp,RM_2654_S2 1:10
20140904_CTX-M_LB.tmp,RM_4108_S1
20150129_CTX-M_LB.tmp,RM_4108_S1
20150129_CTX-M_LB.tmp,SE_1352_S4
20150129_CTX-M_LB.tmp,SE_1385_S0
20150129_CTX-M_LB.tmp,SE_173_S3 1:10
20150123_CTX-M_LB.tmp,SE_545_S4
20150129_CTX-M_LB.tmp,SE_545_S4
20150123_CTX-M_LB.tmp,SE_955_S10
20150129_CTX-M_LB.tmp,SE_955_S10
